,station,lat,long,place,x_axis
0,PPT1,37.18709,-122.389961,"Portola Valley, California, United States",0.0
1,P277,37.192376,-122.366891,"Portola Valley, California, United States",0.02084605903763325
2,P219,37.342493,-122.284828,"Portola Valley, California, United States",0.09499821087139139
3,JRSC,37.40625,-122.227403,"Portola Valley, California, United States",0.14688745838920958
4,P220,37.32989,-122.214291,"Portola Valley, California, United States",0.15873546558909
5,SLAC,37.41652,-122.20427,"West Menlo Park, California, United States",0.16779044424605885
6,SUAA,37.426909,-122.173296,"Stanford, California, United States",0.19577856009484718
7,P221,37.336954,-122.099056,"Loyola, California, United States",0.26286184674215474
8,P213,37.201715,-121.990843,"Los Gatos, California, United States",0.3606431465531271
9,THAL,37.351488,-121.935496,"Santa Clara, California, United States",0.4106547126370296
10,SODB,37.166407,-121.925526,"Lexington Hills, California, United States",0.41966360767842853
11,LUTZ,37.286854,-121.865233,"Communications Hill, California, United States",0.4741443808711389
12,P226,37.336777,-121.825592,"Alum Rock, California, United States",0.5099640005638454
13,P218,37.203516,-121.713967,"Morgan Hill, California, United States",0.6108283846156646
14,MHCB,37.341533,-121.642583,"East Foothills, California, United States",0.6753309887917389
15,P241,37.213011,-121.574265,"Morgan Hill, California, United States",0.7370631544325225
16,P258,37.385389,-121.283277,"Patterson, California, United States",1.0
